Token: algoritmo /  Lexema: INICIO_PROGRAMA
Token: var /  Lexema: brasileirao
Token: fimdelinha /  Lexema: ;
Token: declaravari /  Lexema: VARIAVEL
Token: var /  Lexema: pontos
Token: virgula /  Lexema: ,
Token: var /  Lexema: rodadas
Token: virgula /  Lexema: ,
Token: var /  Lexema: golspro
Token: virgula /  Lexema: ,
Token: var /  Lexema: golssofridos
Token: doispontos /  Lexema: :
Token: p_int /  Lexema: INTEIRO
Token: fimdelinha /  Lexema: ;
Token: inicio /  Lexema: INICIO
Token: var /  Lexema: pontos
Token: atribui /  Lexema: :=
Token: valor /  Lexema: 0
Token: fimdelinha /  Lexema: ;
Token: var /  Lexema: rodadas
Token: atribui /  Lexema: :=
Token: valor /  Lexema: 0
Token: fimdelinha /  Lexema: ;
Token: var /  Lexema: golssofridos
Token: atribui /  Lexema: :=
Token: valor /  Lexema: 0
Token: fimdelinha /  Lexema: ;
Token: var /  Lexema: golssofridos
Token: atribui /  Lexema: :=
Token: valor /  Lexema: 0
Token: fimdelinha /  Lexema: ;
Token: enquanto /  Lexema: ENQUANTO
Token: abrepar /  Lexema: (
Token: var /  Lexema: rodadas
Token: relaciona /  Lexema: <
Token: valor /  Lexema: 38
Token: fechapar /  Lexema: )
Token: faca /  Lexema: FACA
Token: inicio /  Lexema: INICIO
Token: se /  Lexema: SE
Token: abrepar /  Lexema: (
Token: var /  Lexema: golspro
Token: relaciona /  Lexema: >
Token: var /  Lexema: golssofridos
Token: fechapar /  Lexema: )
Token: entao /  Lexema: ENTAO
Token: inicio /  Lexema: INICIO
Token: var /  Lexema: pontos
Token: atribui /  Lexema: :=
Token: var /  Lexema: pontos
Token: operaciona /  Lexema: +
Token: valor /  Lexema: 3
Token: fimdelinha /  Lexema: ;
Token: fim /  Lexema: FIM
Token: fimdelinha /  Lexema: ;
Token: se /  Lexema: SE
Token: abrepar /  Lexema: (
Token: var /  Lexema: golspro
Token: igual /  Lexema: =
Token: var /  Lexema: golssofridos
Token: fechapar /  Lexema: )
Token: entao /  Lexema: ENTAO
Token: inicio /  Lexema: INICIO
Token: var /  Lexema: pontos
Token: atribui /  Lexema: :=
Token: var /  Lexema: pontos
Token: operaciona /  Lexema: +
Token: valor /  Lexema: 1
Token: fimdelinha /  Lexema: ;
Token: fim /  Lexema: FIM
Token: fimdelinha /  Lexema: ;
Token: se /  Lexema: SE
Token: abrepar /  Lexema: (
Token: var /  Lexema: golspro
Token: relaciona /  Lexema: <
Token: var /  Lexema: golssofridos
Token: fechapar /  Lexema: )
Token: entao /  Lexema: ENTAO
Token: inicio /  Lexema: INICIO
Token: var /  Lexema: pontos
Token: atribui /  Lexema: :=
Token: var /  Lexema: pontos
Token: operaciona /  Lexema: +
Token: valor /  Lexema: 0
Token: fimdelinha /  Lexema: ;
Token: fim /  Lexema: FIM
Token: fimdelinha /  Lexema: ;
Token: var /  Lexema: rodadas
Token: atribui /  Lexema: :=
Token: var /  Lexema: rodadas
Token: operaciona /  Lexema: +
Token: valor /  Lexema: 1
Token: fimdelinha /  Lexema: ;
Token: fim /  Lexema: FIM
Token: fimdelinha /  Lexema: ;
Token: se /  Lexema: SE
Token: abrepar /  Lexema: (
Token: var /  Lexema: pontos
Token: relaciona /  Lexema: >
Token: valor /  Lexema: 45
Token: fechapar /  Lexema: )
Token: entao /  Lexema: ENTAO
Token: inicio /  Lexema: INICIO
Token: saida /  Lexema: SAIDA
Token: abrepar /  Lexema: (
Token: var /  Lexema: manteve
Token: fechapar /  Lexema: )
Token: fimdelinha /  Lexema: ;
Token: fim /  Lexema: FIM
Token: fimdelinha /  Lexema: ;
Token: senao /  Lexema: SENAO
Token: inicio /  Lexema: INICIO
Token: saida /  Lexema: SAIDA
Token: abrepar /  Lexema: (
Token: var /  Lexema: rebaixado
Token: fechapar /  Lexema: )
Token: fimdelinha /  Lexema: ;
Token: fim /  Lexema: FIM
Token: fimdelinha /  Lexema: ;
Token: fim /  Lexema: FIM
Token: pontofinal /  Lexema: .
